Numr Boletim Ocorrencia,Narrativa,Natureza Ocorrencia,Desc Forma,Municipio,Bairro,Tipo Logradouro,Logradouro,Logr Numero,Logr Complemento,Ano Fato,Mes Fato,Dia Fato,Data Fato,Hora Minuto Fato,Qtde BO
2016.145276,"ESTA GUPM FOI ACIONADA VIA COPOM QUE NA ESTRADA DA PRAIA DO CORTADO, DOIS SUSPEITOS HAVIAM ADENTRADO EM UMA CASA DE UM SITIO NA REGIÃO. AO CHEGAR NO LOCAL, A VITIMA NOS RELATOU QUE AO CHEGAR NA RESIDÊNCIA AVISTOU OS SUSPEITOS QUE AO PERCEBEREM A SUA PRESENÇA ABRIRAM FUGA, QUE EM SEGUIDA PERCEBEU QUE OS SUSPEITOS HAVIAM LEVADO UM APARELHO CELULAR DE ÁREA RURAL, E QUE OS MESMOS HAVIAM FURADO OS DOIS PNEUS DA MOTOCICLETA CRYPTON PRETA QUE ESTAVA NA LOCALIDADE QUE PERTENCIA A VITIMA. A VITIMA TAMBÉM NOS RELATOU QUE SEUS VIZINHOS TENTARAM FAZER O CERCO COM INTUITO DE LOCALIZA-LOS E ACABARAM ENCONTRANDO UMA MOTO CG TITAN (JZY-2177) EM UM MATAGAL PRÓXIMO, QUE DE ACORDO COM A VITIMA PROVAVELMENTE FORA UTILIZADO PELOS SUSPEITOS. JUNTO A MOTOCICLETA TAMBÉM FOI ENCONTRADO UMA BOLSA PRETA COM UMA CAMISA DE COR AZUL. DIANTE DISTO A MOTO JUNTAMENTE COM A BOLSA FOI APREENDIDA FICANDO A DISPOSIÇÃO DA DEL POL DE SINOP.",FURTO,CONSUMADO,SINOP,NAO INFORMADO,NI,NAO INFORMADO,NI,NI,2016,05,01,5/1/2016,13:30:00,1
2016.145375,"EU SARGENTO FRANÇA DO GRUPO CAR DA PM, FIQUEI SABENDO ATRAVÉS DAS VÍTIMAS MENCIONADAS NESTE BO, DE UM ROUBO A RESIDÊNCIA OCORRIDO NA RUA DAS MANJERONAS NÚMERO 165 B, NO BAIRRO JARDIM PARAÍSO II NA SEXTA FEIRA POR VOLTA DAS 23 HORAS, ONDE FORA LEVADOS DUAS MOTOCICLETAS HONDA DE COR VERMELHA(JZW-2075 E NUE-9292) E VÁRIOS OUTROS PERTENCES COMO CELULARES, ETC. SENDO QUE NA DATA DE HOJE QUANDO PESQUISANDO MEUS ARQUIVOS, RECONHECI O ACUSADO JONATHAN DE UMA SOLICITAÇÃO QUE O MESMO TERIA FEITO A MINHA PESSOA A APROXIMADAMENTE UM MÊS, QUANDO TEVE SUA MOTOCICLETA HONDA DE COR PRETA ROUBADA (QBF-7714), SENDO ASSIM, ENTREI EM CONTATO COM O MESMO, LOCALIZANDO-O, ONDE FORA RECONHECIDO SEM SOMBRA DE DÚVIDAS PELAS VÍTIMAS QUE SE FIZERAM PRESENTE NESTE BO E FEZ O RECONHECIMENTO DO MESMO, NO ENTANTO, O ACUSADO NEGA A PARTICIPAÇÃO NO REFERIDO ROUBO. ENQUANTO QUALIFICÁVAMOS UMA DAS VÍTIMAS, A MESMA OUVIU QUANDO EU SARGENTO FRANÇA CONVERSAVA COM O ACUSADO EM OUTRA SALA, ME INFORMANDO QUE TAMBÉM O RECONHECEU SEM SOMBRA DE DÚVIDAS PELA VOZ, NOS AFIRMANDO AINDA QUE EXISTEM PELO MENOS SEIS VÍTIMAS DO ACUSADO JONATHAN QUE NÃO PODE COMPARECER. VERIFICANDO O CELULAR DO ACUSADO JONATHAN, EXISTE UMA MENSAGEM ONDE ELE NEGOCIA UMA ARMA PARA COMPRAR. O ACUSADO JONATHAN ESTÁ SENDO ENTREGUE A DEL. POL. MUNICIPAL SEM LESÕES CORPORAIS PARA PROVIDÊNCIAS DA LEI. LAVRA E REGISTRA-SE.",ROUBO,CONSUMADO,SINOP,JARDIM PARAISO,RUA,MANJERONAS,165,B,2016,05,01,5/1/2016,18:17:00,1
2016.145533,"ESTA GUPM FOI ACIONADA VIA COPOM PARA ATENDER UMA OCORRÊNCIA NA AV. DOS TARUMÃ COM RUA DAS PRIMAVERAS, CHEGANDO NO LOCAL ESTAVA PRESENTE O CORPO DE BOMBEIRO REPASSANDO QUE TINHA ACONTECIDO UM ATROPELAMENTO E O CONDUTOR DA BICICLETA VEIO A ÓBITO, O CONDUTOR DO CAMINHÃO SCANIA DE COR BRANCA PLACA NPC7316 PEDRA PRETA /MT, QUE SE ENVOLVEU NO ACIDENTE TINHA SE EVADIDO DO LOCAL, FEZ PRESENTE NO LOCAL UMA GUARNIÇÃO DA POLICIA CIVIL E A POLITEC, REALIZANDO OS TRABALHOS DE PERICIA; ATO CONTINUO FOI ACIONADO AS DEMAIS VTRS DE SERVIÇO, SEGUNDO A GUARNIÇÃO COMPOSTA PELO CB ANDERSON E SD VALDEIR SILVA DEPAROU COM O REFERIDO CAMINHÃO NA RUA COLONIZADOR ENIO PEPINO SENTIDO AO POSTO BÚFALO SENDO ACOMPANHADO E FOI ABORDADO NO PÁTIO DO POSTO BÚFALO SENDO IDENTIFICADO QUE SE TRATAVA DO CAMINHÃO QUE TINHA ATROPELADO O CICLISTA, DE PRONTO O JOSÉ CONDUTOR DO CAMINHÃO DISSE QUE SE ENVOLVEU NO ACIDENTE, MAS FICOU COM MEDO POR ISSO SAIU DO LOCAL, AO REVISTAR A GABINE DO CAMINHÃO FOI LOCALIZADA UMA ESPINGARDA CAL. 28, SEM MARCA E NUMERAÇÃO, IMPOSSIBILITANDO A IDENTIFICAÇÃO DA REFERIDA ARMA. DIANTE DAS CIRCUNSTÂNCIA O CAMINHÃO SCANIA DE COR BRANCA PLACA NPC7316 PEDRA PRETA /MT, FOI REMOVIDO PELO GUINCHO CATARINENSE E ENCAMINHADO PARA O PÁTIO DO GUINCHO FICANDO A DISPOSIÇÃO DA DELEGACIA, A BICICLETA DE COR AZUL COM AVARIA DE GRANDE MONTA FOI ENCAMINHADA PARA A DELEGACIA, O CONDUTOR JOSÉ CARLOS BORGES PEREIRA FOI DETIDO E ENCAMINHADO PARA A DELEGACIA PARA AS PROVIDENCIAS.",HOMICÍDIO DOLOSO,CONSUMADO,SINOP,CENTRO,AVENIDA,DOS TARUMÃS,NI,NI,2016,05,01,5/1/2016,21:20:00,1
2016.145628,"NARRA O COMUNICANTE QUE ESTAVA PARADO ENFRENTE O SIENTEC,QUANDO UM ELEMENTO EM UMA MOTOCICLETA HOMDA TITAN DE COR VERMELHO BORDO, ABORDOU O COMUNICANTE,FAZENDO GESTO COMO SE FOSSE SACAR DE UMA ARMA DE FOGO, EM SEGUIDA ORDENOU QUE O MESMO PASSASSE SEU APARELHO CELULAR.",ROUBO,CONSUMADO,SINOP,CENTRO,RUA,DOS ALAMOS,NI,NI,2016,05,02,5/2/2016,NI,1
2016.146062,"NARRA A COMUNICANTE QUE MORA ATRÁS DA LOJA ""MOTO PEÇAS BIKE"" E QUE NA DATA DO FATO OUVIU BARULHO E AO VERIFICAR NA CÂMERA VISUALIZOU UMA PESSOA CORRENDO, E AO CONFERIR A LOJA CONSTATOU QUE O SUSPEITO HAVIA LEVADO O CAIXA COM O VALOR DE R$ 380,00 (TREZENTOS E OITENTA REAIS) EM ESPÉCIE. FILMAGENS EM ANEXO (DRIVE).",FURTO,CONSUMADO,SINOP,SÃO CRISTOVÃO,RUA,COLONIZADORA ENIO PEPINO,520,NI,2016,05,02,5/2/2016,03:21:00,1
2016.146083,"RELATA, O COMUNICANTE QUE DEIXOU A SUA MOTOCICLETA EM LOCAL APROPRIADO NO ESTABELECIMENTO ( RIO PRETO BALNEARIO). DECLINA, QUE ENTROU NO BALNEARIO PARA SE DIVERTIR E QUANDO SAIU DO LOCAL CONSTATOU QUE A MOTOCICLETA NÃO ESTAVA MAIS NO LOCAL.",FURTO,CONSUMADO,SINOP,ALTO DA GLÓRIA,RUA,NÃO INFORMADO,NI,NI,2016,05,01,5/1/2016,22:00:00,1
2016.146210,"NARRA A COMUNICANTE QUE É ENFERMEIRA E TRABALHA NA UTI DO HOSPITAL REGIONAL DE SINOP, QUE NA DATA DO FATO DEIXOU A SUA BOLSA NO ARMÁRIO DO REPOUSO, COMO DE COSTUME, E QUE AO IR ALMOÇAR, AO PEGAR A BOLSA PERCEBEU QUE A SUA BOLSA CONTENDO CPF, RG, CARTÕES DE BANCO, DOCUMENTO DO CARRO, CELULAR, BRINCO DA COR DOURADA, HAVIA SIDO FURTADA.",FURTO,CONSUMADO,SINOP,CENTRO,RUA,DAS CAVIUNAS,1759,NI,2016,05,02,5/2/2016,10:00:00,1
2016.146403,"ESTA GUARNIÇÃO FOI ACIONADA VIA COPOM, POIS, NA LOJA TECELAGEM AVENIDA HAVIA OCORRIDO UMA TENTATIVA DE FURTO. DESLOCAMOS ATE O LOCAL E EM CONVERSA COM A SOLICITANTE QUE É GERENTE DA LOJA, ELA NOS RELATOU QUE FUNCIONARIAS DA LOJA FLAGRARAM AS DUAS SUSPEITAS COM ALGUMAS ROUPAS E TÊNIS DA LOJA E QUE ELAS HAVIAM QUEBRADO OS SENSORES ELETRÔNICOS QUE ESTAVAM NOS MATERIAIS. AS SUSPEITAS ESTAVAM SAINDO DA LOJA QUANDO FORAM ABORDADAS PELAS FUNCIONARIAS. DIANTE DO FATO ELES FORAM ENCAMINHADAS PARA DEL. POL. DE SINOP JUNTAMENTE COM OS MATERIAIS PARA PROVIDENCIAS CABÍVEIS. AMBAS ESTÃO SEM LESÕES CORPORAIS.",FURTO,TENTADO,SINOP,CENTRO,AVENIDA,JULIO CAMPOS,615,NI,2016,05,02,5/2/2016,12:45:00,1
2016.146526,"NARRA O COMUNICANTE QUE APÓS CHEGAR DA CASA DE SUA MÃE E AO ENTRAR EM SUA CASA ENCONTROU SUA CASA COM A PORTA ARROMBADA, SENDO QUE SENTIU FALTA DOS SEGUINTES OBJETOS: APARELHO DVD, RECEPTOR DE ANTENA PARABÓLICA, TELEVISÃO SEMP TOSHIBA DE CUBO, GELADEIRA, UM PNEU E UMA RODA COM PNEU DE CARRO. AFIRMA TAMBÉM QUE SUA VIZINHA VIU UMA PESSOA COM AS CARACTERÍSTICA SENDO MORENO BAIXO MEIO FORTE, SAINDO DA CASA COM OS OBJETOS. E TAMBÉM INFORMA QUE SABE MAIS OU MENOS ONDE O SUSPEITO POSSA MORAR.",FURTO,CONSUMADO,SINOP,SETOR INDUSTRIAL NORTE,RUA,VALDIR DORNER,472,NI,2016,05,01,5/1/2016,07:00:00,1
2016.146691,"NA DATA E HORA NESTE CITADO ESTA GUPM SURPREENDEU O MENOR QUE TINHA SAÍDO DE UM BAR NO BOA VISTA NO FINAL DA ESTRADA SABRINA O MESMO ESTAVA ABAIXADO PRÓXIMO DO MATO NA BEIRA DA ESTRADA. QUANDO O MESMO PERCEBEU A VIATURA JOGOU O MATERIAL QUE ESTAVA EM SUAS MÃOS NO MATO. ESTA GUPM FEZ UMA VARREDURA NO LOCAL ONDE ENCONTRAMOS SETE INVÓLUCRO DE PLÁSTICO DE COR AZUL COM CHEIRO E APARÊNCIA DE MACONHA (CANNABIS SATIVA). ESTE MENOR AFIRMOU QUE VENDE ENTORPECENTE NESTE LOCAL, VENDE DE CINCO E DEZ REAIS CADA INVÓLUCRO DE PLÁSTICO CONTENDO ENTORPECENTES. FOI ENCONTRADO CINCO REAIS NO BOLSO DE SEU SHORTS O MENOR FOI APREENDIDO E ENCAMINHADO A AUTORIDADE DE POLICIA JUDICIARIA CIVIL JUNTAMENTE COM ESTE MATERIAL PARA SEREM TOMADAS AS MEDIDAS CABÍVEIS AO FATO SEM LESÃO CORPORAL. REGISTRA-SE.",TRÁFICO ILÍCITO DE DROGAS,CONSUMADO,SINOP,JD BOA VISTA,ESTRADA,SABRINA,S/N,bar do boa vista,2016,05,02,5/2/2016,14:00:00,1
